date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:56:27	71/71	---M--	200	added ('OK')	text/plain	etag:%2293331add2984c99daaf1d9c393177a82%22	https://bestwallettoken.com/robots.txt		(from )
08:56:27	117/117	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2015%20Jul%202025%2007:56:25%20GMT	https://bestwallettoken.com/	C:/Users/HP/OneDrive/Desktop/BestWallet-New/bestwallet%20new/bestwallettoken.com/index.html	(from )
08:56:29	251480/251480	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2007:56:27%20GMT	https://bestwallettoken.com/en	C:/Users/HP/OneDrive/Desktop/BestWallet-New/bestwallet%20new/bestwallettoken.com/en.html	(from https://bestwallettoken.com/)
08:56:31	6237/6237	---M--	200	added ('OK')	image/png	etag:%22cd4e2a009bd54810909012693a1ebb57%22	https://bestwallettoken.com/bestwallet/images/banner-bottom-cloud.png	C:/Users/HP/OneDrive/Desktop/BestWallet-New/bestwallet%20new/bestwallettoken.com/bestwallet/images/banner-bottom-cloud.png	(from https://bestwallettoken.com/en)
08:56:32	141744/141744	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222d2f08a0beae20b8e2e600cec5ae15b0%22	https://bestwallettoken.com/bestwallet/images/store-icon.svg	C:/Users/HP/OneDrive/Desktop/BestWallet-New/bestwallet%20new/bestwallettoken.com/bestwallet/images/store-icon.svg	(from https://bestwallettoken.com/en)
08:56:32	239/239	---M--	200	added ('OK')	image/svg+xml	etag:%22daf1838a56a840be39c30d5badc71dfc%22	https://bestwallettoken.com/bestwallet/svgIcons/check.svg	C:/Users/HP/OneDrive/Desktop/BestWallet-New/bestwallet%20new/bestwallettoken.com/bestwallet/svgIcons/check.svg	(from https://bestwallettoken.com/en)
08:56:34	719627/719627	---MCZ	200	added ('OK')	text/css	etag:W/%22f86399e44f93af5909979a6f5df14b5c%22	https://bestwallettoken.com/_next/static/css/f776ee01df54fdd6.css	C:/Users/HP/OneDrive/Desktop/BestWallet-New/bestwallet%20new/bestwallettoken.com/_next/static/css/f776ee01df54fdd6.css	(from https://bestwallettoken.com/en)
08:56:34	228160/228160	---MCZ	200	added ('OK')	text/css	etag:W/%2266d1524af4bda01256d8c8a9325b2525%22	https://bestwallettoken.com/_next/static/css/d3df112486f97f47.css	C:/Users/HP/OneDrive/Desktop/BestWallet-New/bestwallet%20new/bestwallettoken.com/_next/static/css/d3df112486f97f47.css	(from https://bestwallettoken.com/en)
08:56:35	13924/13924	---MCZ	200	added ('OK')	text/css	etag:W/%221b62cfc325e35907675a67a409ddfbf7%22	https://bestwallettoken.com/_next/static/css/b26a1f6328a29379.css	C:/Users/HP/OneDrive/Desktop/BestWallet-New/bestwallet%20new/bestwallettoken.com/_next/static/css/b26a1f6328a29379.css	(from https://bestwallettoken.com/en)
08:56:36	1018/1018	---MCZ	200	added ('OK')	text/css	etag:W/%22071bee507c7d611bd6668c0ccfc1f1f8%22	https://bestwallettoken.com/_next/static/css/fd6785c9f3896fa4.css	C:/Users/HP/OneDrive/Desktop/BestWallet-New/bestwallet%20new/bestwallettoken.com/_next/static/css/fd6785c9f3896fa4.css	(from https://bestwallettoken.com/en)
08:56:37	719894/719894	---MCZ	200	added ('OK')	text/css	etag:W/%22e6e91ca8317362fb86569c7f4592ea04%22	https://bestwallettoken.com/_next/static/css/08630778a56fa3e3.css	C:/Users/HP/OneDrive/Desktop/BestWallet-New/bestwallet%20new/bestwallettoken.com/_next/static/css/08630778a56fa3e3.css	(from https://bestwallettoken.com/en)
08:56:38	149/149	---M--	200	added ('OK')	text/css	etag:%22c530f58f7ab2f6ac01a0365092bf3b67%22	https://bestwallettoken.com/_next/static/css/c3b08c78bcb230fe.css	C:/Users/HP/OneDrive/Desktop/BestWallet-New/bestwallet%20new/bestwallettoken.com/_next/static/css/c3b08c78bcb230fe.css	(from https://bestwallettoken.com/en)
08:56:38	723044/723044	---MCZ	200	added ('OK')	text/css	etag:W/%2203e19e663cd33aab4ea65dcc917de264%22	https://bestwallettoken.com/_next/static/css/33dd174552b8b596.css	C:/Users/HP/OneDrive/Desktop/BestWallet-New/bestwallet%20new/bestwallettoken.com/_next/static/css/33dd174552b8b596.css	(from https://bestwallettoken.com/en)
08:56:39	722408/722408	---MCZ	200	added ('OK')	text/css	etag:W/%22d52b5e7dfe7ec70d78ed0d2d3889d168%22	https://bestwallettoken.com/_next/static/css/9b2a58b58d746bd9.css	C:/Users/HP/OneDrive/Desktop/BestWallet-New/bestwallet%20new/bestwallettoken.com/_next/static/css/9b2a58b58d746bd9.css	(from https://bestwallettoken.com/en)
08:56:40	3991/3991	---MCZ	200	added ('OK')	text/css	etag:W/%223ba65c6d10e1b5137ebd445a0fd7f4c3%22	https://bestwallettoken.com/_next/static/css/84b2aeb934d6f2b9.css	C:/Users/HP/OneDrive/Desktop/BestWallet-New/bestwallet%20new/bestwallettoken.com/_next/static/css/84b2aeb934d6f2b9.css	(from https://bestwallettoken.com/en)
